country,beautiful thing,category,note,alternatives,source,source URL,other sources
Papua New Guinea,Most living languages ,SKILLZ,852,"most improved human rights - Papua New Guinea's human rights score increased by almost 8000% 2000-2017, from 0.02 to 0.32 (the score range in this period was approx. -3.23 to 5.13. Higher score=better human rights). ",Our World in Data,"https://ourworldindata.org/human-rights
https://www.ethnologue.com/enterprise-faq/which-countries-have-most-languages#:~:text=Papua%20New%20Guinea%20has%20the,Nigeria%2C%20having%20531%20living%20languages.",https://docs.google.com/spreadsheets/d/1zolTt0KFh0RFuwBy8pb3Hw0BrRteH0sCabyLhNJolT4/edit#gid=954198546
Paraguay,,,,,,,
Peru,Best culinary destination,SKILLZ,"Top country for gastronomy, voted no.1 for 9 consecutive years. ",best cultural destination https://www.worldtravelawards.com/award-worlds-leading-cultural-destination-2019,World Travel Awards,https://www.worldtravelawards.com/award-worlds-leading-culinary-destination-2019,
Philippines,"Best diving
",NATURE,,most nurses,Extractive Industries Transparency Initiative,https://www.cnnphilippines.com/life/culture/2020/5/6/ofw-nurses.html,
Poland,Fewest mothers dying,HEALTH,Lowest maternal mortality rate,,,https://www.cia.gov/the-world-factbook/field/maternal-mortality-rate/country-comparison,
Portugal,Best for children's rights,FREEDOM & RIGHTS,Top score in the KidsRights Index which maps the extent to which states adhere to and are equipped to improve children's rights. ,"first country to legalize all drugs https://time.com/longform/portugal-drug-use-decriminalization/

best for retirement https://internationalliving.com/the-best-places-to-retire/",KidsRights Foundation,http://www.kidsrightsindex.org/Portals/5/KRI%202019/The%20KidsRights%20Index%202019%20Report.pdf?ver=2019-05-09-150422-647,
Puerto Rico,,,,,,,
Qatar,,,,,,,
Romania,Lowest male cancer rate,HEALTH,"At 264/100k population, Romania has the lowest rates of cancer among men in the world. ",,World Cancer Research Fund,https://www.wcrf.org/dietandcancer/cancer-trends/data-cancer-frequency-country,
Russia,Consumption of Mandarins,SKILLZ,,,,https://east-fruit.com/en/news/russia-is-world-leader-in-mandarin-imports-despite-drop-in-volume/,
Rwanda,Most women MPs,WOMEN & GIRLS,61% of parliamentary seats held by women in 2019.,,World Bank ,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS,https://docs.google.com/spreadsheets/d/1WwCDOaJZw8TNVRXT4HFFzaQ0nRu8gEw9KUcqf0ipJII/edit#gid=1117243905
Saudi Arabia,Improving ease of doing business,FREEDOM & RIGHTS,Most improvement in ease of doing business - climbed 30 places in a year in the World Bank's 'ease of doing business' rankings ,,The National,"https://www.thenational.ae/business/economy/saudi-arabia-is-top-improver-in-world-bank-s-doing-business-report-as-uae-leads-the-region-1.928174#:~:text=Saudi%20Arabia%20was%20the%20world's,reforms%20made%20in%20the%20region.",
Scotland,Free sanitary products,NICE!,,,Al Jazeera,https://www.aljazeera.com/news/2020/11/25/scotland-first-in-the-world-to-make-sanitary-products-free,
Senegal,Lowest car theft,FREEDOM & RIGHTS,0.04 car thefts per 100k population.,,UNODC,https://dataunodc.un.org/crime,https://docs.google.com/spreadsheets/d/1OOcHPJ0a_95KDEzXXK4VSSaNX2flri0taX1t5UucbCA/edit#gid=747838921
Serbia,Most foreign investment,DEVELOPMENT,Most Foreign Direct Investment (FDI) projects relative to GDP. ,,FDI Intelligence,https://www.fdiintelligence.com/article/75351,
Sierra Leone,Biggest increase in measles vaccine coverage,HEALTH,Measles vaccine coverage increased from 37% in 2000 to 80% in 2018.,,World Bank,https://data.worldbank.org/indicator/SH.IMM.MEAS?most_recent_value_desc=true,https://docs.google.com/spreadsheets/d/1FEeV6Fw-xEm0x0WR3eLjN9EHkKJKbln3nBo82h65Sps/edit#gid=392071930
Singapore,Highest life expectancy ,HEALTH,Average: 86.19 years,lowest homicide rate (tied with Japan) https://docs.google.com/spreadsheets/d/1OOcHPJ0a_95KDEzXXK4VSSaNX2flri0taX1t5UucbCA/edit#gid=1706010039,The Heritage Foundation,https://www.cia.gov/the-world-factbook/field/life-expectancy-at-birth/country-comparison,
Slovakia,Car-making,SKILLZ,"per 1,000 people",,Kafka Desk,https://kafkadesk.org/2018/04/18/5-things-slovaks-do-better-than-anyone-else/,
Slovenia,Highest income equality,WOMEN & GIRLS,"Based on the GINI index, which measures income distribution. ",", lowest infant mortality rate",World Bank,https://data.worldbank.org/indicator/SI.POV.GINI?most_recent_value_desc=false,https://www.cia.gov/the-world-factbook/field/infant-mortality-rate/country-comparison
Somalia,Biggest improvement in socioeconomic equality,FREEDOM & RIGHTS,"78% improvement in equality of political power by socioeconomic position score, 2014-2018. ",,Deloitte,https://www.socialprogress.org/?tab=7,https://docs.google.com/spreadsheets/d/1idd7XlvcKvz9Dws-26hBfen7si6Zh631hvZ3y47RlK8/edit#gid=849391413
South Africa,Averted most HIV infections,HEALTH,"Averted a sum total of 459,000 new HIV infections over 16yrs thanks to drug therapy. South Africa has the highest number of cases in the world. ","most white and black rhinos https://wwf.panda.org/knowledge_hub/endangered_species/rhinoceros/african_rhinos/black_rhinoceros/#:~:text=However%2C%20almost%2098%25%20of%20the,b. https://www.savetherhino.org/rhino-info/population-figures/",UNAIDS,http://aidsinfo.unaids.org/,
South Korea,Marine energy,RENEWABLES,Highest installed capacity  -256 MW in 2019,,IRENA,https://www.irena.org/Statistics/View-Data-by-Topic/Capacity-and-Generation/Country-Rankings,
South Sudan,Biggest improvement in water and sanitation,HEALTH,"Aggregate score based on access to basic drinking water, access to piped water, access to basic sanitation, and rural open defecation. Improved 25% 2014-2018. ",,Deloitte,https://www.socialprogress.org/?tab=7,https://docs.google.com/spreadsheets/d/1idd7XlvcKvz9Dws-26hBfen7si6Zh631hvZ3y47RlK8/edit#gid=849391413
Spain,Concentrated solar power,RENEWABLES,"CSP capacity was 2300MW in 2017, up from 61MW in 2008. ",organ donors,New Energy Update,http://newenergyupdate.com/csp-today/global-csp-capacity-reaches-495-gw-south-africas-redstone-csp-project-signs-ppa-after-two,
Sri Lanka,Most generous volunteers,NICE!,"Highest proportion of the population who volunteer their time, averaging 46% over the past decade.",,CAF,https://www.cafonline.org/docs/default-source/about-us-publications/caf_wgi_10th_edition_report_2712a_web_101019.pdf,
Sudan,Biggest improvement in healthcare access,HEALTH,Access to quality healthcare score increased by 116% 2014-2018.,,Deloitte,https://www.socialprogress.org/?tab=7,https://docs.google.com/spreadsheets/d/1idd7XlvcKvz9Dws-26hBfen7si6Zh631hvZ3y47RlK8/edit#gid=849391413
Suriname,Most forests,NATURE,Most forested country,,We Forum,"https://www.weforum.org/agenda/2019/09/most-forested-countries-trees-climate-change/#:~:text=Suriname%20is%20the%20most%20forested%20country%20in%20the%20world.&text=Dotted%20across%201.6%20million%20square,Chuuk%2C%20Kosrae%2C%20and%20Pohnpei.",
Sweden,Most LGBTQ+ friendly,FREEDOM & RIGHTS,"Safest country in the global LGBTQ+ Danger Index 2020, based on marriage laws, worker protections, protection against discrimination, criminalization of violence, adoption laws, morality laws, legality of same-sex relationships, and whether it's generally a good place to live if you're LGBTQ+. ","most overseas development aid per GNI https://www.bond.org.uk/news/2019/01/oecd-releases-final-overseas-aid-figures-for-2017

first place to ban smacking children
https://sweden.se/society/smacking-banned-since-1979/",Pink News,https://www.pinknews.co.uk/2020/01/15/lgbt-travel-most-dangerous-countries-safety-lgbtq-danger-index/,
Switzerland,Safest roads ,FREEDOM & RIGHTS,"Lowest road traffic injury mortality at 2.7/100,000 population. ","most nobel laureates per capita

most innovative https://www.wipo.int/global_innovation_index/en/2019/#:~:text=Switzerland%20is%20the%20world's%20most,according%20to%20the%20GII%202019.

safest country overall 
https://www.prime-property.com/en/News/Cyprus_ranked_5th_safest_country_in_the_world/",World Bank,https://data.worldbank.org/indicator/SH.STA.TRAF.P5?most_recent_value_desc=false&view=chart,https://docs.google.com/spreadsheets/d/1zolTt0KFh0RFuwBy8pb3Hw0BrRteH0sCabyLhNJolT4/edit#gid=1361543605
Syria,,,,,,,
Taiwan,Fastest internet,SKILLZ,85.02 megabits per second. Wow!,,Panda Security,https://www.pandasecurity.com/mediacenter/panda-security/countries-with-the-fastest-internet/,
Tajikistan,,,,,,,
Tanzania,Biggest improvement in gender equality,FREEDOM & RIGHTS,Scale of gender equality based on political power distribution. ,,Deloitte,https://www.socialprogress.org/?tab=7,https://docs.google.com/spreadsheets/d/1idd7XlvcKvz9Dws-26hBfen7si6Zh631hvZ3y47RlK8/edit#gid=849391413
Thailand,Natural rubber,SKILLZ,,,,https://www.statista.com/statistics/275397/caoutchouc-production-in-leading-countries/,
Timor-Leste,Biggest drop in malaria cases,HEALTH,"From the highest number of cases worldwide in 2010 (113,269), down to among the lowest numbers in 2017 (26). ",lowest robbery rates https://docs.google.com/spreadsheets/d/1OOcHPJ0a_95KDEzXXK4VSSaNX2flri0taX1t5UucbCA/edit#gid=181372293,WHO,http://apps.who.int/iris/bitstream/handle/10665/272724/WHO-CDS-GMP-2018.10-eng.pdf?ua=1,
Togo,Biggest improvement in kids completing primary school,DEVELOPMENT,The proportion of kids completing primary school increased from 36% in 1990 to 92% in 2017. ,,World Bank,https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS?most_recent_value_desc=true,https://docs.google.com/spreadsheets/d/1zolTt0KFh0RFuwBy8pb3Hw0BrRteH0sCabyLhNJolT4/edit#gid=1665388260
Trinidad and Tobago,,,,,,,
Tunisia,Organic dates,SKILLZ,,,Tunisa Monitor,"https://www.tunisianmonitoronline.com/index.php/2019/04/15/tunisia-worlds-leading-country-in-terms-of-organic-groves/#:~:text=Tunisia%20is%20number%201%20in,hectares%20devoted%20to%20organic%20agriculture.",
Turkey,Most tea consumption per person,SKILLZ,Highest average annual tea consumption at 7lb per person.,,The Atlantic,"https://www.theatlantic.com/international/archive/2014/01/map-the-countries-that-drink-the-most-tea/283231/#:~:text=China%20is%20far%20and%20away,the%20world's%20biggest%20tea%20drinkers.",
Turkmenistan,Marble clad buildings,NICE!,,,Wired,https://www.wired.co.uk/article/world-records-city-ashgabat-turkmenistan,
Uganda,Fitness population,SKILLZ,"World's fittest country, according to the World Health Organization.",,BBC,https://www.bbc.co.uk/news/world-africa-45496654,
Ukraine,Cheapest broadband,COOL TECH,"Is fast too. (Syria is technically cheaper, but this is largely due to the collapsing Syrian pound).",,Cable.co.uk,https://www.cable.co.uk/broadband/pricing/worldwide-comparison/#highlights,
United Arab Emirates,Lowest tuberculosis,HEALTH,Incidence: 1 case per 100k population in 2018. ,,World Bank,https://data.worldbank.org/indicator/SH.TBS.INCD?most_recent_value_desc=false&view=chart,
United Kingdom,Offshore wind,RENEWABLES,Highest installed capacity - Almost 10k MW in 2019. ,"First to commit to ending climate change by law https://www.carbonbrief.org/daily-brief/uk-becomes-first-country-in-world-to-commit-to-ending-climate-change-by-law

vegans (no global data on no. vegans, but highest Google search interest in ‘veganism’ is UK)",IRENA,https://www.irena.org/Statistics/View-Data-by-Topic/Capacity-and-Generation/Country-Rankings,
United States,Most Generous Donors to charity,NICE!,Equivalent to $1370 per person per year,,Quartz,https://docs.google.com/spreadsheets/d/1s-UDvB278nKs-CJElx40h97ZeTSAFk8xJDu_BLtQ9yw/edit#gid=0,
Uruguay,First to legalize marijuana,FREEDOM & RIGHTS,"Legalized marijuana in 2013, followed by Canada in 2018. ",,Guardian,https://www.theguardian.com/world/2018/oct/17/cannabis-becomes-legal-in-canada-marijuana,
Uzbekistan,,,,,UNICEF,,
Venezuela,Most protected land area,NATURE,Highest % of total land area under protection at 54% in 2018. ,,World Bank,https://data.worldbank.org/indicator/ER.LND.PTLD.ZS?most_recent_value_desc=true,
Vietnam,Most cashew nuts,SKILLZ,,,,,
Wales,Most castles ,NICE!,Per square mile,,Great British Bucket List,https://www.greatbritishbucketlist.com/fun-facts-about-wales/,
Yemen,,,,,,,
Zambia,Most parks,NATURE,32% of land,,Safaris Africana,https://safarisafricana.com/which-country-has-the-most-national-parks/,
Zimbabwe,Biggest improvement in property rights for women,FREEDOM & RIGHTS,74% improvement in property rights for women score 2014-2018. ,,Deloitte,https://www.socialprogress.org/?tab=7,https://docs.google.com/spreadsheets/d/1idd7XlvcKvz9Dws-26hBfen7si6Zh631hvZ3y47RlK8/edit#gid=849391413
